Original,Translate,Translate_GPT_1
"Per voi in tal maniera, che tenuto","Für Sie in einer Weise, dass es nicht mehr gegen mich, sondern beugen.","Für Sie so, dass er nicht mehr feindlich mir gegenüber ist, sondern aufgibt."
"Non sia più contra me, ma si’ aterrato.","Er mag nicht mehr gegen mich stehen, sondern auf dem Boden liegen.","Er mag nicht feindseliger sein als ich, sondern auf dem Boden liegen."
"Ch’e’ pur convien ch’i’ soccorra Durante,","In der Tat ist es notwendig, dass Sie helfen Während,","In der Tat, es ist wichtig, dass Sie assistieren während."
"Chéd i’ gli vo’ tener sua promessione,","Weil ich sein Versprechen halten will,","Weil ich sein Wort halten möchte,"
Ché tropo l’ò trovato   fin Amante.,Weil ich ihn zu sehr verliebt fand.,Weil ich ihn zu leidenschaftlich fand.
"Molto penò di torelmi Ragione,","Er hat viel gelitten, um mich zu beschützen.","Er hat viel geduldet, um Gerechtigkeit zu bewahren."
"Que’, come sagio, fu sì fermo e stante","Aber er, wie ein Weiser, war so fest und konstant","Aber er, wie ein weiser Mann, war so fest und hartnäckig."
Che no•lle valse nulla su’ sermone».,Dass nichts seine Rede gegen ihn wert war.,Nichts hat seine Rede gegen ihn genützt.
La Baronia sì fecie parlamento,Baronia fing an zu reden,Baronien fing an zu reden
"Per devisar in che maniera andranno,","Um zu entscheiden, wie sie gehen werden,","Definieren Sie, wie Sie vorgehen."
O la qual porta prima assaliranno;,Oder welche Tür sie zuerst angreifen werden;,Welche Tür werden sie zuerst angreifen;
Sì fur ben tutti d’un acordamento,Und alle waren sich einig,Alle waren sich einig.
"Fuor che Richeza,   che fe’ saramento","Außer Reichtum, der einen Eid leistete","Ausnahme, Reichtum, feierliches Versprechen"
"Ch’ella non prenderebe per me affanno,","Dass er nicht an dem Unternehmen teilnehmen würde,",Dass er nicht an dem Unternehmen teilnehmen würde.
"Néd al castel non darebe già danno,","Weder hätte er dem Schloss Schaden zugefügt,",Das hätte dem Schloss keinen Schaden zugefügt.
"Per pregheria né per comandamento,","Weder durch Gebet noch durch Befehl,",Weder durch Gebet noch durch Befehl.
"Che nessuna persona far potesse,",Niemand konnte es tun.,"Unmöglich, unzugänglich, nicht erreichbar."
Perciò ch’i’ non volli anche sua contezza:,Weil er nicht einmal meine Zustimmung wollte:,Weil er nicht einmal meine Zustimmung wünschte.
"S’iera dritto, ch’i’ me ne pentesse.","Wenn es richtig wäre, dass ich es bereue.","Wenn es angebracht wäre, dass ich es bereue."
"Ben disse, ch’i’ le feci gran carezza","Und er sagte gut, dass ich ihr große Liebkosungen machte","Er sagte zu Recht, dass ich ihr große Verwöhnung gab"
"Sotto dal pino, ma non c’ancor vedesse","Unter der Kiefer, aber er sah noch nicht","Unter der Tanne, aber noch nicht gesehen"
Che Povertà no•m’avesse   in distrezza.,Dass die Armut mich nicht in Schwierigkeiten gebracht hat.,Dass Miseria mich nicht in eine schwierige Situation gebracht hat.
"Al Die d’Amor ricordaro il fatto,","Und sie berichteten dem Gott der Liebe von dem, was geschehen war,",Dem Göttlichen der Liebe berichteten sie über das Ereignis.
E disser ch’e’ trovavar d’acordanza,"Und sie sagten, sie hätten einen Deal gefunden.","Sie sagten, sie würden eine Einigung erzielen."
Che Falsenbiante e Costretta-Astinenza,Dass Falsenbiante und Abstinenz-Costretta,Falsch-Prophet und Pflicht-Abstinenz
Dessono a Mala Bocca scacco matto;,Schachmatt in Malabocia;,Sie gaben Schachmatt Malabocia.
Largheza e Cortesia traeser pacto,Breite und Höflichkeit schlossen einen Bund,Größe und Freundlichkeit unterzeichneten einen Deal
"Con quella, che•ssa ben la vechia danza;","Mit der, die gut getanzt werden würde;","Mit der, die gut ausgeführt werden würde;"
E Pietate e Francheza dear miccianza,Und Frömmigkeit und Freimut schlossen sich ihm an.,Frömmigkeit und Candore vereinten sich
"A quello Schifo, che sta sì ’norsato;","zum Widerstand, der so arrogant ist","zum Widerstand, der so anmaßend ist"
"E po’ vada Diletto e Ben-Cielare,","Und dann Liebling und Ben-Cielare,",Also Freude und Splendore-Celeste.
"Ed a Vergognia dean tal lastrellata,","Und Schande geben sie eine solche Niederlage,","Betrübt sei er von einer solchen Niederlage,"
Ched ella non si possa rilevare;,Möge er nicht mehr aufstehen;,"Nicht in der Lage, wieder aufzustehen."
"Ardimento a Paura dea ghigniata,",Sie grüßen Angst und grinsen.,Kühnheit in Angst geben ein Lachen.
"E Sicurtà la degia sì pelare,","Und Sicherheit lassen sie so schälen,","Sichern, sichern, verkleinern."
Ched ella non vi sia ma’ più trovata.,Dass sie nicht mehr gefunden werden kann.,"Unzugänglich, unerreichbar."
"Amor   rispuose: «A me sì piacie assai,","Liebe antwortete: ""Ich mag es sehr,","Liebe antwortete: ""Ich mag es sehr,"
Che l’oste avete bene istabulita;,Dass ihr den Wirt gut organisiert habt;,Dass Sie den Wirt sorgfältig vorbereitet haben.
"Ma•ttu Richeza, c’or   mi sè fallita,","Aber du, Richezza, die du mir jetzt versagt hast,","Aber du Prosperität, die du mich jetzt enttäuscht hast,"
"Sed i’ potrò, tu•tte ne penterai.","Wenn ich kann, wirst du es bereuen.","Wenn ich die Chance habe, wirst du es bereuen."
"S’uomini richi i’ posso tener mai,","Wenn wohlhabende Männer jemals behalten können,","Wenn die Reichen jemals erhalten können,"
"Non poss’io già star un giorno in vita,",Ich kann keinen Tag am Leben bleiben.,Ich kann eines Tages nicht überleben.
"S’avanti che da me facciar partita,","Wenn du mich verlässt,","Bevor du mich verlässt,"
Non recherò a poco il loro assai.,Ich werde ihren Reichtum nicht auf ein Minimum reduzieren.,Ich werde ihren Überfluss nicht verringern.
Uomini poveri fatt’ànno lor sire,Die armen Männer haben mich zu ihrem Herrn gemacht,Die armen Männer haben mich zu ihrem Herrscher gemacht.
"Di me, e ciaschedun m’à dato il core,","Und jeder gab mir sein Herz,","Jeder hat mir seine Zuneigung geschenkt,"
Per ch’a tal dono mi degio ben sofrire.,Deshalb muss ich diese Gabe ertragen.,Deshalb muss ich dieses Zugeständnis tolerieren.
"Se di Richeza, sì come d’Amore,","Wenn von Richezza, wie von Liebe,","Wenn von Überfluss, wie von Zuneigung, wenn von Prosperität, wie von Hingabe."
"I’ fosse Dio, non possa io ben sentire","Wenn du Gott wärst, könnte ich mich nicht gut fühlen.","Wenn ich ein Gott wäre, könnte ich nicht gut fühlen."
Sed i’ no•gli mettesse in gran riccore».,Wenn ich es nicht begehre.,Wenn ich keinen großen Ehrgeiz hätte.
"«S’uomini richi vi fano damagio,","Wenn die Reichen euch Schaden zufügen,","Wenn die Reichen euch Schaden zufügen,"
Vo’ avete ben chi ne farà vendetta:,"Ihr habt recht, wer es rächen wird.","Ihr habt alle, die es wiedergutmachen."
"Non fate forza, s’ella non s’afretta,","Macht keine Kraft, wenn er sich nicht beeilt,","Üben Sie keinen Druck aus, wenn Sie sich nicht schnell bewegen."
Ché no’ la pagherén ben de l’oltragio.,Weil sie nicht für die Beleidigung bezahlen werden.,Weil sie die Beleidigung nicht wiedergutmachen werden.
"Le donne, e le pulzelle al chiar visagio",Frauen und junge Menschen im klaren Gesicht,Frauen und junge Menschen im hellen Gesicht
"Gli metteranno ancor a tal distretta,","Sie werden sie immer noch in solche Schwierigkeiten bringen,",Sie werden sie immer noch in diese Herausforderung stellen.
"Ma’ che ciascuna largo si prometta,","Aber jeder verspreche, großzügig zu sein.","Jeder verpflichtet sich, großmütig zu sein."
"Che strutto ne sarà que’, ch’è ’l più sagio.","Denn wer der weiseste ist, wird besiegt werden.","Denn wer der Allwissende ist, wird siegen."
Ma Falsenbiante trametter non s’osa,Aber Falsenbiante wagt nicht zu senden,"Jedoch wagt es Falsenbiante nicht, zu senden"
"Di questi fatti, né sua conpagnia,","Diese Fakten, noch seine Gesellschaft,",Diese Umstände und seine Anwesenheit wurden begrüßt.
Ché gran mal gli volete: ciò ci posa.,"Denn ihr wollt ihn sehr schlecht, das beruhigt uns.",Weil Sie ihn zutiefst hassen - das beruhigt uns.
"Sì vi priega tutta la Baronia,","Die Baronie betet zu euch alle,",Baronia fleht euch alle an.
Che ricieviate: e’ manderà la cosa».,"Akzeptieren Sie es, er wird es schicken.","Dass ihr einverstanden seid, er wird die Sache schicken."
"«Da po’ che vo’ volete, e’ così sia».","Da ihr so wollt, soll es geschehen.","Das ist es, was du dir wünschen möchtest."
"Amor sì disse: «Per cotal convento,","Liebe sagte: ""Für diesen Deal,","Liebe rief aus: ""In diesem Sinne,"
"Falso-Senbiante, in mia corte enterai,","Falsenbiante, du gehst in mein Gericht,",Du wirst in mein Palast eindringen.
"Che tutti i nostri amici avanzerai,","Und du wirst all unsere Freunde übertreffen,",Du wirst all unsere Kameraden besiegen.
E metterai   i nemici in bassamento.,Und du wirst deine Feinde nach unten bringen.,Du wirst die Rivalen runterlassen.
"E sì•tti do, per buon cominciamento,",Und ich gebe dir einen guten Anfang.,"Und ich biete dir als erste Geste,"
"Che Re-de’-barattier   tu sì sarai,","Dass du der König des Handels sein wirst,",Mögen Sie der Souverän der Händler sein.
"Ché pez’à che ’n capitolo i’ ’l fermai,","Denn in einem Kapitel habe ich es festgelegt,",Weil ich in einem Kapitel entschieden habe.
Ch’i’ conosciea ben tu’ tradimento.,Dass ich deinen Verrat gut kannte.,"Dass ich wusste, dass du aufgibst."
"Or sì vo’ che•cci dichi in audienza,","Jetzt will ich, dass du in der Anhörung sagst,","Jetzt will ich, dass du vor Gericht sagst:"
"Pe•ritrovarti, se n’avrén mestiere,","Um dich zu finden, wenn wir es brauchen,","Um dich zu lokalisieren, falls nötig,"
"I•luogo, dove tu•ffai  residenza,","Der Ort, an dem du wohnst,","Der Ort, an dem du zu Hause bist,"
"Né di che servi, né di che mestiere.",Und was für ein Beruf du bist.,"Welchen Nutzen hast du, und was ist dein Job?"
"Fa che n’agiàn veracie conoscienza,","Stellen Sie sicher, dass sie echtes Wissen haben,","Stellen Sie sicher, dass sie ein tiefes Verständnis haben."
"Ma no ’l farai,   sì•ssè mal barattiere».",Aber das wirst du nicht. Du bist ein böser Kaufmann.,Aber das wirst du nicht. Du bist ein böser Händler.
"«Po’ ch’e’ vi piacie, ed i’ sì ’l vi diròe»,","Denn es gefällt euch, und ich will es euch sagen.","Denn ihr mögt es, und ich werde es euch sagen."
"Diss’alor Falsenbiante: «or ascoltate,","Da sagte Falsenbiante: ""Nun entronnen,",Da sprach Falsenbian: Höret gut zu!
Chéd i’ sì vi dirò  la veritate,Weil ich euch die Wahrheit sage,Weil ich euch die Wirklichkeit offenbare
"De•luogo, dov’io uso e dov’i’ stoe.","Von dem Ort, an dem ich lebe und wo ich bin.",Wo ich wohne und wohne.
"Alcuna volta per lo secol voe,","Manchmal wandere ich durch die Welt,",Manchmal wandert er um den Globus herum.
"Ma dentro a’ chiostri fugo in salvitate,",Aber in den Klöstern rette ich mich.,In den Klöstern bin ich sicher.
Ché quivi poss’io dar le gran ghigniate,Weil ich dort große Grinsen machen kann,Weil ich dort sehr lachen kann.
E tuttor santo tenuto saròe.,Und ich werde immer als heilig gelten.,Und ich werde immer heilig verehrt werden.
Il fatto a’ secolari è troppo aperto:,Meine Lebensweise ist zu offen für Laien:,Mein Lebensstil ist zu liberal für Unerfahrene.
"Lo star guari co•lor non mi bisognia,","Mit ihnen gut zu sein, brauche ich nicht.","Es hilft mir nicht, mit ihnen in Harmonie zu sein."
C’a me convien giucar troppo coperto.,Weil ich zu viel spielen muss.,Weil ich zu vorsichtig sein muss.
"Perch’i’ la mia malizia mi ripognia,","Weil meine Bosheit mich abweist,",Denn meine Bosheit widert mich an.
Vest’io la roba del buon frate Alberto:,Ich kleide mich wie der gute Mönch Alberto:,Ich kleide mich wie der gottesfürchtige Mönch Alberto.
"Chi tal rob’àe, non teme mai vergognia.","Wer diese Kleider hat, fürchtet sich nie vor Scham.","Wer diese Kleidung besitzt, hat nie Angst vor Demütigung."
"I’ sì mi sto con que’ religiosi,",Ich bin mit diesen Ordensleuten zusammen.,Ich bin mit diesen Gläubigen zusammen.
"Religiosi   no, se non in vista,","Nicht religiös, wenn nicht scheinbar,","Nicht religiös, außer an der Oberfläche."
"Che•ffan la ciera lor pensosa, e trista,","Sie machen ihren Ausdruck nachdenklich und traurig,",Sie äußern ihre melancholische und unglückliche Reflexion.
"Per parer a le gienti più pietosi,","Um den gnädigsten Menschen zu erscheinen,","Um den mitfühlendsten Menschen zu erscheinen,"
"E’ sì si mostran molto sofrettosi,","Und so zeigen sie sehr leidend,",So sind sie sehr schmerzhaft.
"E ’n tapinando ciaschedun aquista,","Und im Betteln kauft jeder,","Sich zu bewegen, zu erhalten, zu erhalten."
"Sì che perciò mi piacie lor amista,","So mag ich ihre Freundschaft,","Ich höre gern auf ihre Freundschaft,"
C’a barattar son tutti curiosi.,Weil sie alle neugierig auf Geschäfte sind.,Weil sie alle an Geschäften interessiert sind.
Po’ vanno procacciando l’acontanze,Dann gehen sie nach Gelegenheiten suchen,"Sie untersuchen, untersuchen, untersuchen die Chancen."
"Di riche gienti, e vanole seguendo.","Reich, und sie folgen Gerüchten.","Opulente, und sie folgen dem Gerede."
E’ sì voglion mangiar le gran pietanze,Und sie wollen das große Essen essen,Sie wollen die großen Ströme verbrauchen.
E preziosi   vin vanno bevendo:,und Wein von hoher Qualität zu trinken.,Wein von ausgezeichneter Qualität probieren und probieren.
E queste son le lor grandi astinanze.,Und das ist ihre große Abstinenz.,Und das sind ihre großen Verzichte.
Po’ van la povertà altrui abellendo.,Dann schmücken sie die Armut anderer.,Dann schmücken sie das Elend der anderen.
"E’ sì vanno lodando la povèrta,","Und so preisen sie die Armut,",So feiern sie das Elend.
"E le richeze pescan co’ tramagli,","Und sie fangen Reichtum mit Fangen,",Sie jagen Reichtümer mit Tricks.
"Ed ivi mettor tutti lor travagli,","Und sie setzen alle ihre Anstrengungen auf euch,",Sie investieren all ihre Energie.
Tutto si cuoprar e’ d’altra coverta.,Alles deckt sich mit einer anderen Tarnung ab.,Alles bedeckt sich mit einem anderen Aufbau.
Di lor non puo’ tu trare cosa cierta:,Über sie weißt du nichts.,Über sie weißt du nichts.
"Se•ttu lor presti me’ val a chitarli,","Wenn du ihm etwas leihst, brauchst du es nicht loszuwerden.","Wenn du ihm etwas bietest, brauchst du es nicht loszuwerden."
"Che, se•ttu metti pena in raquistarli,","Denn wenn du sie in Schwierigkeiten bringst, um sie zurückzugewinnen,","Denn, wenn Sie sie in ihrer Erholung behindern,"
Ciascun di lor si ferma in darti perta.,Jeder von ihnen wird dich für selbstverständlich halten.,Jeder von ihnen wird dich als Daten nehmen.
E ciascun dicie ch’è religioso,"Und jeder sagt, er sei religiös.","Alle behaupten, sie seien ergeben."
"Perché vesta di sopra grossa lana,","Weil sie mit großer Wolle überkleidet ist,",Weil er einen dicken Wollpullover trägt.
E ’l morbido bianchetto tien nascoso;,Und verbirgt das weiche Weiß;,"Sie verbirgt das weiche, weich."
"Ma già religione ivi non grana,","Aber es gibt keine Religion dort,",Aber da gibt es keinen Glauben.
"Ma grana   nel cuor humile e piatoso,","Aber es ist im demütigen und frommen Herzen,","Im demütigen und gottesfürchtigen Herzen,"
"Che, ’n trar sua vita, mette pena e ana.",Dass er in seinem Leben Schmerz und Mühe bringt.,Dass er in seiner Existenz Mühe und Traurigkeit braucht.
E ora i’ v’ò detto: in cuore humile e piano,Und nun habe ich euch gesagt: im demütigen und einfachen Herzen,Jetzt habe ich euch im demütigen und bescheidenen Herzen gesagt.
"Santa religione grana e fioriscie,","die heilige Religion sproßt und blüht,",Der heilige Glaube keimt und blüht.
"Religioso   non si inorgogliscie,","der Ordensmann wird nicht stolz,",Der Gläubige prahlt nicht.
Tuttora il truova l’uon dolcie e humano.,"Immer findet der Mensch, was süß und menschlich ist.","Der Mensch findet ewig das, was angenehm und mitfühlend ist."
"A cotal giente i’ sì do tosto mano,","Diesen Leuten werde ich bald meine Aufmerksamkeit schenken,",Diesen Menschen schenke ich meine Aufmerksamkeit.
"Ché vita di nessun non m’abeliscie,","Denn niemandes Leben enttäuscht mich nicht,","Da mich das Leben von niemandem enttäuscht, bin ich unerbittlich zufrieden."
"S’e’ non inganna, e baratta, e tradiscie.","wenn er nicht betrügt, und tauscht, und betrügt.",wenn sie nicht schlau ist und handelt und den Glauben bricht.
"Ma ’l più, ch’i’ posso, di lor sì mi strano,","Aber die meisten, die ich kann, wundert mich,","Aber die Mehrheit, die ich kann, überrascht mich."
"Ché con tal giente star ben non potrei,","Denn bei dieser Art von Leuten könnte es mir nicht gut gehen,",Da ich mit solchen Menschen nicht glücklich wäre.
"C’a voi, gientil Signior, ben dire l’oso,","Und so kann ich sagen, Gentlemen,","Und so kann ich sagen, nette Menschen,"
