input|target
Why does Tom look so grumpy today?|Perché Tom sembra così scontroso oggi?
Why didn't you come to my wedding?|Perché non siete venute al mio matrimonio?
Tom doesn't like to share things.|A Tom non piace condividere le cose.
Which do you prefer, coffee or tea?|Quale preferisce, caffè o tè?
Are you ready to hear the bad news?|Siete pronte a sentire la cattiva notizia?
My father used to go to work by bus.|Mio padre andava a lavorare in autobus.
Tom isn't going to help us today.|Tom non ci aiuterà oggi.
I know some students in that school.|Conosco alcuni studenti in quella scuola.
I have to tell you something first.|Io devo dirvi qualcosa prima.
We'll do that tomorrow, won't we?|Lo faremo domani, vero?
It's not something anyone can do.|Non è qualcosa che può fare chiunque.
Did you tell Tom what you told me?|Ha detto a Tom quello che ha detto a me?
Tom already knows how to do that.|Tom sa già come farlo.
Tom and Mary want to talk to you.|Tom e Mary vogliono parlare con lei.
Tom spent the afternoon with Mary.|Tom ha passato il pomeriggio con Mary.
This is why he got angry with you.|Questo è perché si è arrabbiato con lei.
Have you ever seen this logo before?|Hai mai visto questo logo prima d'ora?
Are you and Tom in the same class?|Lei e Tom siete nella stessa classe?
Would you hand me the screwdriver?|Mi passeresti il giravite?
Have you ever seen an elephant fly?|Hai mai visto un elefante volare?
Have you spoken to Tom about this?|Ha parlato con Tom a riguardo?
Can you give me a hand with this box?|Puoi darmi una mano con questa scatola?
You've got to be more aggressive.|Tu devi essere più aggressiva.
I didn't think anybody was coming.|Non pensavo che venisse qualcuno.
The teacher's name is Mr. Jackson.|Il nome dell'insegnante è signor Jackson.
She went to a movie the other day.|È andata al cinema l'altro giorno.
Tom isn't finished doing that yet.|Tom non ha ancora finito di farlo.
Tom and John are intelligent men.|Tom e John sono uomini intelligenti.
I was afraid that I might be killed.|Avevo paura che potessi essere uccisa.
This medicine has no side effects.|Questa medicina non ha effetti collaterali.
You're a tennis player, aren't you?|Lei è un tennista, vero?
I think you're absolutely gorgeous.|Penso che tu sia assolutamente stupenda.
You will need time to understand.|Avrai bisogno di tempo per capire.
I don't listen to punk rock anymore.|Io non ascolto più il punk rock.
Are you in favor of the plan or not?|È a favore del piano o no?
I just have a couple of questions.|Ho solo un paio di domande.
You won't be needing this anymore.|Non avrete più bisogno di questo.
Let's discuss the problem with them.|Discutiamo il problema con loro.
I'd rather be a bird than a fish.|Mi piacerebbe di più essere un uccello che un pesce.
I slept for eight hours last night.|Ho dormito otto ore la scorsa notte.
You should be investing your money.|Dovresti investire i tuoi soldi.
I had no idea that you were there.|Non avevo idea che fossi là.
Nobody appreciated his sacrifice.|Nessuno apprezzò il suo sacrificio.
I shouldn't have gone to Australia.|Non sarei dovuto andare in Australia.
That boy's name is Shintaro Wada.|Il nome di quel ragazzo è Shintaro Wada.
Tom said he isn't going to help us.|Tom ha detto che non ci aiuterà.
I believe I can help you find Tom.|Credo di potervi aiutare a trovare Tom.
That's the one we were looking for.|È quello che stavamo cercando.
I have doubts about his popularity.|Ho dubbi sul suo successo.
I like basketball, but I can't play.|Mi piace la pallacanestro, ma non ci so giocare.
I don't want to talk to him anymore.|Non voglio più parlare con lui.
I'm still learning how to do that.|Sto ancora imparando come farlo.
Can you tell the Jackson twins apart?|Riuscite a distinguere i gemelli Jackson?
Mary is a pretty girl, isn't she?|Mary è una bella ragazza, vero?
He seldom gives his wife presents.|Raramente lui fa dei regali alla moglie.
Tom has already killed three people.|Tom ha già ucciso tre persone.
Trans fats are bad for your health.|Gli acidi grassi trans fanno male alla salute.
I've always wanted to visit Boston.|Ho sempre voluto visitare Boston.
Tom is Mary's assistant, isn't he?|Tom è l'assistente di Mary, vero?
His leg was bitten by a crocodile.|La sua gamba fu morsa da un coccodrillo.
I doubt Tom is really that gullible.|Dubito che Tom sia davvero così fessacchiotto.
Your speech was quite interesting.|Il suo discorso fu piuttosto interessante.
Tom didn't want Mary to get hurt.|Tom non voleva che Mary si facesse del male.
He is not ashamed of his misconduct.|Lui non si vergogna della sua cattiva condotta.
I was thinking about something else.|Io stavo pensando ad altro.
I'd rather stay home than go alone.|Io preferirei rimanere a casa che andare da solo.
Tom cried because he was so happy.|Tom pianse perché era così felice.
Tom will do that again, I'm sure.|Tom lo rifarà, ne sono sicura.
I thought it might be complicated.|Ho pensato che potrebbe essere complicata.
You'll never be as famous as Tom.|Non sarete mai famose come Tom.
Somehow I thought you'd say that.|In qualche modo ho pensato che l'avresti detto.
I don't know why you don't like him.|Non so perché non vi piaccia.
This is the part I hate the most.|Questa è la parte che odio di più.
Would you please turn off the TV?|Spegnerebbe la TV, per favore?
Tom won't lend me the money I need.|Tom non mi presterà i soldi di cui ho bisogno.
I'll arrange a meeting with them.|Io organizzerò un convegno con loro.
I have no intention of doing that.|Non ho intenzione di farlo.
Tom goes to school early on Mondays.|Tom va a scuola presto il lunedì.
What am I going to do without Tom?|Cosa farò senza Tom?
Tom told Mary that John was married.|Tom disse a Mary che John era sposato.
I've complained to Tom about that.|Mi sono lamentata con Tom a riguardo.
Tom told me that he was innocent.|Tom mi ha detto che era innocente.
There are many craters on the moon.|Ci sono molti crateri sulla Luna.
Where do you want to go to lunch?|Dove vuoi andare a pranzare?
I think he's Mary's older brother.|Io penso che sia il fratello maggiore di Mary.
Tom seemed really happy to be here.|Tom sembrava veramente felice di essere qua.
Why are you sitting on the floor?|Perché sei seduto sul pavimento?
He's studying French and web design.|Studia francese e web design.
Mary thinks martial arts are silly.|Mary pensa che le arti marziali siano ridicole.
Don't you want to become a father?|Non vuole diventare padre?
That's why I don't want to do that.|È la ragione per cui non lo voglio fare.
We had a lot of visitors yesterday.|Abbiamo avuto molti visitatori ieri.
How many hours a day do you sleep?|Quante ore al giorno dorme?
I got to the station this morning.|Sono arrivato alla stazione stamattina.
Can you tell me where to buy tickets?|Può dirmi dove comprare dei biglietti?
I visit my grandmother twice a week.|Vado a trovare mia nonna due volte alla settimana.
Who do you plan to visit in Boston?|Chi ha intenzione di visitare a Boston?
We know what you told the police.|Sappiamo quello che ha detto alla polizia.
Can I really have it at this price?|Posso davvero averlo a questo prezzo?
Why weren't you here the other day?|Perché non eri qui l'altro giorno?
Let's find out what else Tom wants.|Scopriamo che altro vuole Tom.
I'm going to Tom's house to study.|Sto andando a casa di Tom per studiare.
Why haven't you been here lately?|Perché non è stata qua ultimamente?
Why do you walk when you have a car?|Perché vai a piedi quando hai una macchina?
I don't know any of the five ladies.|Non conosco nessuna delle cinque signore.
Do you really think Tom is honest?|Pensi davvero che Tom sia onesto?
Tom disappeared into the restaurant.|Tom è scomparso nel ristorante.
Does Tom know how to play the piano?|Tom sa suonare il pianoforte?
Why don't you want to listen to me?|Perché non mi vuoi ascoltare?
I wish Tom was here with me today.|Io vorrei che Tom fosse qui con me oggi.
I watched a documentary about sushi.|Io guardai un documentario sul sushi.
We're totally different people now.|Noi siamo persone completamente diverse adesso.
What were you doing at the hospital?|Cosa stavate facendo all'ospedale?
Strange to say, I didn't notice it.|Strano a dirlo, non me ne sono accorto.
Are you connected to the internet?|Sei connesso ad Internet?
I have no regrets about what I did.|Io non ho rimpianti per quello che ho fatto.
She got married at the age of 25.|Si sposò all'età di 25 anni.
I think everything is under control.|Penso che tutto sia sotto controllo.
I've never been very good at French.|Non sono mai stato molto bravo in francese.
Almost all of my neighbors are nice.|I miei vicini sono quasi tutti simpatici.
I haven't reached any conclusions.|Io non ho raggiunto alcuna conclusione.
This isn't the right way to do this.|Questo non è il modo giusto per fare questo.
Why do we need to be in Australia?|Perché dobbiamo essere in Australia?
He is apt to forget people's name.|Lui tende a dimenticarsi il nome della gente.
Is there a gas station around here?|C'è un benzinaio da queste parti?
Don't show me her picture anymore.|Non farmi più vedere la sua foto.
I was your mother's first boyfriend.|Sono stato il primo moroso di tua madre.
I'm sure I have the right number.|Sono sicura di avere il numero esatto.
Choose either of the two T-shirts.|Scelga una delle due T-shirt.
Would you like to come to my party?|Vorresti venire alla mia festa?
Tom's disappointment was obvious.|La delusione di Tom era ovvia.
Tom is going to do that sometime.|Tom lo farà a volte.
She suspected that it was too late.|Lei ha sospettato che fosse troppo tardi.
He wasn't able to attend the party.|Non era in grado di partecipare alla festa.
Tom was kicked out of the meeting.|Tom è stato espulso dalla riunione.
You had better have your car washed.|Faresti bene a far lavare la macchina.
The police will put you in prison.|La polizia ti metterà in prigione.
You don't have to go out with Tom.|Non dovete uscire con Tom.
Tom is interested, but Mary isn't.|Tom è interessato, però Mary non lo è.
She doesn't listen to music at all.|Lei non ascolta per niente la musica.
Soccer players make a lot of money.|I giocatori di calcio prendono molti soldi.
Does the room have air conditioning?|La camera ha l'aria condizionata?
We have another test after this one.|Noi abbiamo un altro esame dopo questo.
You'll get used to it in no time.|Ci si abituerà subito.
Tom went with Mary to the museum.|Tom andò con Mary al museo.
Do you know what's happened to Tom?|Tu sai cos'è successo a Tom?
They are always arguing about money.|Loro discutono sempre di soldi.
I'm going to teach you some karate.|Le insegnerò un po' di karate.
Tom spent a lot of time in Boston.|Tom ha passato molto tempo a Boston.
It's two o'clock in the afternoon.|Sono le due del pomeriggio.
I don't know because I wasn't there.|Non lo so perché non c'ero.
How different are the two languages?|Quanto sono diverse le due lingue?
When you’re done, open the window.|Quando hai finito, apri la finestra.
Shut up! You're talking too much.|Stai zitta! Stai parlando troppo.
Results will be announced Monday.|I risultati saranno annunciati lunedì.
What did Tom give you for Christmas?|Cosa ti ha dato Tom per Natale?
Tom has done everything he can do.|Tom ha fatto tutto quello che riusciva a fare.
Is there a bank near the station?|C'è una banca vicino alla stazione?
Do you want to talk about anything?|Vuoi parlare di qualsiasi cosa?
I haven't forgotten our first date.|Non ho dimenticato il nostro primo appuntamento.
Why don't you write it in French?|Perché non lo scrivete in francese?
I don't know where your painting is.|Non so dove sia il vostro quadro.
You will keep your word, won't you?|Terrai la tua parola, vero?
Tell me if you need anything else.|Ditemi se vi serve altro.
She became a true friend of mine.|Diventò una mia vera amica.
